股票代码,股票名称,行业,低点日期,首次十倍日期,用时(天),低点收盘价(前复权),十倍日收盘价(前复权),倍数,低点收盘价(不复权),十倍日收盘价(不复权),低点总股本(股),十倍日总股本(股),低点总市值(元),十倍日总市值(元)
000733,振华科技,电子元件,2019-01-02,2021-07-26,936,8.0200,80.8100,10.0761,11.0100,83.5500,514805618,514805618,5668009854.18,43012009383.90
001696,宗申动力,交运设备,2019-01-02,2024-10-28,2126,2.6200,27.2500,10.4008,4.4000,27.4500,1145026920,1145026920,5038118448.00,31430988954.00
002080,中材科技,玻璃玻纤,2019-01-02,2021-09-07,979,3.2900,33.8400,10.2857,8.0800,35.9200,1290864296,1678123584,10430183511.68,60278199137.28
002088,鲁阳节能,装修建材,2019-01-02,2021-08-12,953,1.4900,14.9700,10.0470,8.5700,25.3000,361702033,361684133,3099786422.81,9150608564.90
002130,沃尔核材,非金属材料,2019-01-02,2024-12-26,2185,2.7700,28.2300,10.1913,3.2000,28.3700,1261849062,1259898562,4037916998.40,35743322203.94
002149,西部材料,小金属,2019-01-02,2025-12-24,2548,4.0800,42.0000,10.2941,5.2800,42.0000,425414274,488214274,2246187366.72,20504999508.00
002326,永太科技,化学制品,2019-01-02,2021-09-10,982,5.8900,64.4600,10.9440,6.9700,64.6600,817463027,876566295,5697717298.19,56678776634.70
002351,漫步者,消费电子,2019-01-02,2020-06-02,517,2.0700,20.7300,10.0145,4.9000,21.7600,595370000,889147500,2917313000.00,19347849600.00
002402,和而泰,消费电子,2019-01-02,2025-09-24,2457,5.5600,56.0000,10.0719,6.2100,56.0000,914016928,924806285,5676045122.88,51789151960.00
002459,晶澳科技,光伏设备,2019-01-02,2021-08-10,951,3.3400,34.1600,10.2275,8.3300,68.5400,3312759995,3312759995,27595290758.35,227056570057.30
002568,百润股份,酿酒行业,2019-01-02,2020-07-13,558,2.6100,26.3500,10.0958,8.8700,55.0000,535852426,535852426,4753011018.62,29471883430.00
002709,天赐材料,化学制品,2019-01-02,2020-12-14,712,2.5800,26.3600,10.2171,21.3200,94.0600,1924156460,1924156460,41023015727.20,180986156627.60
300033,同花顺,软件开发,2019-01-02,2024-11-05,2134,26.0900,265.4000,10.1725,38.2200,268.5000,537600000,537600000,20547072000.00,144345600000.00
300035,中科电气,非金属材料,2019-01-02,2021-10-27,1029,3.6200,36.3600,10.0442,4.5000,37.0500,642582824,642365824,2891622708.00,23799653779.20
300346,南大光电,电子化学品,2019-01-02,2021-07-28,938,3.2700,36.9100,11.2875,8.8900,58.3000,543702550,543702550,4833515669.50,31697858665.00
300661,圣邦股份,半导体,2019-01-02,2020-07-01,546,8.0900,82.4500,10.1916,66.4600,316.3000,469630612,469630612,31211650473.52,148544162575.60
300672,国科微,半导体,2019-01-02,2021-11-12,1045,20.6100,211.3000,10.2523,35.6800,212.6000,180423140,180107101,6437497635.20,38290769672.60
300677,英科医疗,医疗器械,2019-01-02,2020-05-26,510,2.4700,25.4000,10.2834,14.6800,76.4500,646189486,646189486,9486061654.48,49401186204.70
300718,长盛轴承,工程机械,2019-01-02,2025-02-17,2238,7.3200,77.2000,10.5464,14.5600,77.6000,198000000,298779030,2882880000.00,23185252728.00
