股票代码,股票名称,行业,标签_低点后十倍股(1/0),低点日期,首次十倍日期,模型A_抄底分(0-100),模型B_趋势确认分(0-100),模型B_入场日期,标签_入场后十倍股(1/0),错误(如有)
000035,中国天楹,环保行业,0,2024-02-05,,52.0,63.0,2024-06-18,0,
000048,京基智农,农牧饲渔,0,2019-01-29,,69.0,73.0,2019-04-10,0,
000063,中兴通讯,通信设备,0,2019-01-03,,44.0,42.0,2019-02-25,0,
000065,北方国际,工程建设,0,2021-02-04,,70.0,73.0,2021-03-29,0,
000159,国际实业,石油行业,0,2024-02-07,,92.0,45.0,2024-08-06,0,
000333,美的集团,家电行业,0,2019-01-03,,56.0,59.0,2019-04-01,0,
000401,金隅冀东,水泥建材,0,2024-06-24,,38.0,35.0,2024-10-30,0,
000516,国际医学,医疗服务,0,2020-05-15,,41.0,45.0,2020-07-07,0,
000519,中兵红箭,专用设备,0,2019-01-31,,52.0,45.0,2019-02-28,0,
000529,广弘控股,食品饮料,0,2019-01-02,,75.0,60.0,2019-02-19,0,
000530,冰山冷热,通用设备,0,2019-01-31,,74.0,71.0,2019-03-08,0,
000552,甘肃能化,煤炭行业,0,2020-03-23,,81.0,65.0,2020-07-06,0,
000554,泰山石油,石油行业,0,2021-02-01,,50.0,45.0,2021-03-31,0,
000561,烽火电子,通信设备,0,2024-02-05,,66.0,35.0,2024-09-30,0,
000566,海南海药,化学制药,0,2024-06-25,,47.0,35.0,2024-09-10,0,
000571,新大洲A,煤炭行业,0,2019-06-20,,51.0,35.0,2020-04-30,0,
000572,海马汽车,汽车整车,0,2019-08-15,,49.0,49.0,2020-02-27,0,
000586,汇源通信,通信设备,0,2021-02-08,,49.0,50.0,2021-07-20,0,
000596,古井贡酒,酿酒行业,0,2019-01-03,,70.0,77.0,2019-03-01,0,
000601,韶能股份,电力行业,0,2024-02-07,,49.0,35.0,2024-10-15,0,
000625,长安汽车,汽车整车,0,2019-06-18,,34.0,35.0,2019-09-05,0,
000630,铜陵有色,有色金属,0,2020-05-25,,48.0,40.0,2020-07-09,0,
000632,三木集团,综合行业,0,2024-08-27,,46.0,35.0,2024-11-07,0,
000661,长春高新,生物制品,0,2019-01-03,,48.0,64.0,2019-02-11,0,
000663,永安林业,装修建材,0,2020-02-04,,48.0,35.0,2021-02-02,0,
000670,盈方微,半导体,0,2020-02-04,,47.0,54.0,2022-08-22,0,
000680,山推股份,工程机械,0,2020-02-04,,55.0,35.0,2020-05-06,0,
000720,新能泰山,电网设备,0,2024-09-06,,49.0,35.0,2024-10-18,0,
000723,美锦能源,煤炭行业,0,2019-01-03,,66.0,62.0,2019-03-19,0,
000729,燕京啤酒,酿酒行业,0,2019-01-03,,44.0,40.0,2019-04-03,0,
000731,四川美丰,化肥行业,0,2021-02-05,,56.0,55.0,2021-04-28,0,
000751,锌业股份,有色金属,0,2024-02-05,,49.0,35.0,2024-04-01,0,
000778,新兴铸管,钢铁行业,0,2020-05-29,,56.0,45.0,2020-07-29,0,
000779,甘咨询,工程咨询服务,0,2024-08-22,,84.0,65.0,2024-10-08,0,
000800,一汽解放,汽车整车,0,2019-01-02,,34.0,34.0,2019-03-06,0,
000810,创维数字,通信设备,0,2019-01-03,,47.0,45.0,2019-03-04,0,
000813,德展健康,化学制药,0,2024-06-28,,74.0,60.0,2024-10-31,0,
000821,京山轻机,光伏设备,0,2020-02-04,,71.0,35.0,2020-07-24,0,
000825,太钢不锈,钢铁行业,0,2020-04-28,,70.0,40.0,2020-08-03,0,
000830,鲁西化工,化学原料,0,2020-05-29,,72.0,73.0,2020-07-20,0,
000860,顺鑫农业,酿酒行业,0,2024-09-18,,36.0,35.0,2024-11-06,0,
000861,海印股份,-,0,2024-08-05,,53.0,,,,
000868,安凯客车,汽车整车,0,2019-06-06,,36.0,35.0,2019-09-20,0,
000869,张  裕Ａ,酿酒行业,0,2020-03-23,,74.0,73.0,2020-05-21,0,
000875,吉电股份,电力行业,0,2019-01-31,,46.0,35.0,2019-02-27,0,
000882,华联股份,商业百货,0,2024-06-27,,57.0,35.0,2024-09-30,0,
000887,中鼎股份,汽车零部件,0,2020-04-28,,76.0,57.0,2020-07-06,0,
000892,欢瑞世纪,文化传媒,0,2021-01-26,,51.0,35.0,2021-09-23,0,
000910,大亚圣象,装修建材,0,2024-02-07,,76.0,57.0,2024-09-30,0,
000912,泸天化,化肥行业,0,2024-02-05,,62.0,45.0,2024-04-02,0,
000922,佳电股份,电机,0,2019-01-31,,63.0,63.0,2019-02-26,0,
000923,河钢资源,钢铁行业,0,2022-10-31,,91.0,72.0,2022-12-15,0,
000935,四川双马,水泥建材,0,2024-09-09,,89.0,76.0,2024-10-14,0,
000951,中国重汽,汽车整车,0,2019-01-03,,63.0,51.0,2019-02-22,0,
000959,首钢股份,钢铁行业,0,2024-09-11,,45.0,36.0,2024-09-30,0,
000970,中科三环,小金属,0,2019-01-31,,63.0,53.0,2019-03-07,0,
000975,山金国际,贵金属,0,2019-05-07,,63.0,70.0,2019-06-11,0,
000978,桂林旅游,旅游酒店,0,2020-02-04,,76.0,53.0,2020-07-15,0,
000980,众泰汽车,汽车整车,0,2021-01-11,,45.0,39.0,2021-02-22,0,
001218,丽臣实业,化学制品,0,2024-09-18,,68.0,45.0,2024-11-28,0,
001223,欧克科技,专用设备,0,2024-09-18,,89.0,74.0,2025-01-20,0,
001233,海安集团,橡胶制品,0,2025-12-18,,71.0,,,,
001269,欧晶科技,光伏设备,0,2022-09-30,,79.0,,,,
001278,一彬科技,汽车零部件,0,2024-09-18,,70.0,55.0,2025-03-07,0,
001282,三联锻造,汽车零部件,0,2024-02-07,,64.0,68.0,2024-12-05,0,
001300,三柏硕,家用轻工,0,2024-08-23,,49.0,35.0,2025-03-11,0,
001314,亿道信息,消费电子,0,2024-07-25,,62.0,49.0,2024-12-26,0,
001324,长青科技,交运设备,0,2024-09-18,,77.0,61.0,2024-12-04,0,
001332,锡装股份,专用设备,0,2024-08-27,,82.0,65.0,2024-09-30,0,
001337,四川黄金,贵金属,0,2023-03-03,,79.0,,,,
001338,永顺泰,农牧饲渔,0,2024-02-05,,64.0,45.0,2024-12-02,0,
001358,兴欣新材,化学原料,0,2024-02-07,,86.0,,,,
001359,平安电工,非金属材料,0,2024-09-18,,79.0,86.0,2025-04-25,0,
001387,雪祺电气,家电行业,0,2025-04-09,,72.0,60.0,2025-07-03,0,
001389,广合科技,电子元件,0,2024-09-23,,65.0,83.0,2025-06-11,0,
002011,盾安环境,家电行业,0,2020-05-25,,62.0,45.0,2020-12-10,0,
002031,巨轮智能,专用设备,0,2021-02-04,,52.0,45.0,2021-07-14,0,
002049,紫光国微,半导体,0,2019-01-02,,60.0,58.0,2019-03-29,0,
002053,云南能投,综合行业,0,2020-03-19,,60.0,65.0,2020-06-02,0,
002056,横店东磁,光伏设备,0,2019-01-02,,74.0,67.0,2019-04-18,0,
002074,国轩高科,电池,0,2019-01-03,,68.0,68.0,2019-03-04,0,
002089,新海退,-,0,2024-04-01,,32.0,,,,
002099,海翔药业,化学制药,0,2019-01-03,,73.0,65.0,2019-02-18,0,
002111,威海广泰,专用设备,0,2019-01-02,,53.0,47.0,2019-02-18,0,
002128,电投能源,煤炭行业,0,2019-01-02,,85.0,76.0,2019-03-20,0,
002129,TCL中环,光伏设备,0,2019-01-08,,46.0,48.0,2019-02-14,0,
002138,顺络电子,电子元件,0,2019-01-03,,63.0,79.0,2019-02-25,0,
002139,拓邦股份,消费电子,0,2019-01-03,,72.0,60.0,2019-03-05,0,
002140,东华科技,工程建设,0,2019-01-03,,46.0,35.0,2019-03-07,0,
002150,通润装备,光伏设备,0,2019-01-02,,66.0,57.0,2019-02-18,0,
