股票代码,股票名称,行业,总市值(亿元),市盈率TTM,市净率,营收(亿元),净利润(亿元),净利率,近120日涨跌幅,近250日涨跌幅,距250日高点回撤,综合分,标记
688002,睿创微纳,半导体,40.86,47.69,7.48,52.52,5.69,0.1083,0.4480,1.0541,0.0000,46.40,
300373,扬杰科技,半导体,53.48,29.05,4.08,69.57,10.02,0.1441,0.4039,0.5486,-0.1430,46.40,
002472,双环传动,汽车零部件,64.66,33.51,4.17,85.05,10.24,0.1204,0.5281,0.6441,-0.0827,46.30,
301160,翔楼新材,汽车零部件,11.05,38.20,4.44,15.16,2.07,0.1365,0.2922,0.5818,-0.1575,46.30,
603809,豪能股份,汽车零部件,18.95,38.11,3.69,25.67,3.22,0.1254,0.0419,0.6793,-0.1594,46.30,
603239,浙江仙通,汽车零部件,10.24,28.25,4.55,14.07,1.72,0.1220,0.3728,0.5093,-0.0517,46.30,
300926,博俊科技,汽车零部件,40.75,16.88,4.31,54.40,6.13,0.1127,0.2464,0.5408,-0.0897,46.30,
603950,长源东谷,汽车零部件,16.48,25.74,3.25,22.97,2.30,0.1003,0.2092,0.8092,-0.2462,46.30,
300893,松原安全,汽车零部件,18.34,32.27,5.84,24.95,2.60,0.1044,0.3905,0.5837,-0.1604,46.30,
001311,多利科技,汽车零部件,27.09,38.99,2.17,38.14,4.25,0.1114,0.5702,0.5780,-0.0099,46.30,
002901,大博医疗,医疗器械,18.76,35.11,5.96,24.83,3.57,0.1437,0.3309,0.5853,-0.2339,46.10,
688513,苑东生物,化学制药,10.19,36.39,3.73,13.29,2.38,0.1793,0.4963,0.9672,-0.1435,45.80,
601089,福元医药,化学制药,25.21,23.33,3.17,34.19,4.89,0.1429,0.2854,0.5958,-0.2371,45.80,
688578,艾力斯,化学制药,37.33,22.10,7.33,47.57,14.30,0.3005,0.1519,0.7014,-0.1027,45.80,
603920,世运电路,电子元件,40.78,41.98,5.42,54.25,6.75,0.1244,0.6832,0.6252,-0.0160,45.60,
301280,珠城科技,电子元件,13.14,33.24,3.83,17.81,1.86,0.1043,0.3050,0.7009,-0.1163,45.60,
300726,宏达电子,电子元件,14.04,48.03,4.17,18.08,2.79,0.1545,0.4952,0.6245,-0.0955,45.60,
002484,江海股份,电子元件,41.17,36.11,4.20,53.86,6.55,0.1215,0.4270,0.8318,-0.1736,45.60,
001389,广合科技,电子元件,38.35,35.82,9.48,48.89,6.76,0.1383,0.3702,0.6256,-0.0461,45.60,
605058,澳弘电子,电子元件,10.06,30.56,2.50,13.56,1.41,0.1043,0.0933,0.5052,-0.1241,45.60,
300684,中石科技,消费电子,12.98,45.24,7.25,17.69,2.01,0.1139,1.0698,1.2589,-0.0425,45.50,
002947,恒铭达,消费电子,19.63,24.76,4.13,27.50,4.57,0.1661,0.5402,0.5451,-0.0663,45.50,
002611,东方精工,专用设备,33.89,34.24,4.27,48.61,5.01,0.1030,0.6138,0.7527,-0.1236,45.20,
002595,豪迈科技,专用设备,80.76,28.43,5.95,105.25,20.11,0.1911,0.4642,0.8842,-0.0390,45.20,
603757,大元泵业,通用设备,14.45,47.32,4.20,20.57,2.55,0.1241,1.1695,1.3907,-0.2008,45.00,
603699,纽威股份,通用设备,56.03,27.40,9.74,73.86,11.56,0.1565,0.7528,1.6230,-0.0532,45.00,
603915,国茂股份,通用设备,19.87,49.20,3.30,26.49,2.94,0.1108,0.3638,0.5870,-0.1206,45.00,
002255,海陆重工,电源设备,16.85,24.85,2.39,26.95,3.77,0.1400,0.4538,1.2408,-0.1420,44.80,
300693,盛弘股份,电源设备,22.16,33.14,6.22,31.57,4.29,0.1359,0.2970,0.6345,-0.2089,44.80,
002895,川恒股份,化学原料,58.04,17.37,3.02,77.36,9.56,0.1236,0.6151,0.7154,-0.0560,44.70,
603067,振华股份,化学原料,32.17,37.73,5.93,42.90,4.73,0.1102,0.9365,2.1614,-0.1268,44.70,
603080,新疆火炬,燃气,11.17,16.21,2.24,15.63,1.57,0.1004,0.3813,0.5324,-0.1078,44.00,
000893,亚钾国际,化肥行业,38.67,24.38,3.39,49.32,9.50,0.1927,0.5749,1.3272,-0.0029,44.00,
688127,蓝特光学,光学光电子,10.51,46.39,7.55,12.99,2.21,0.1698,0.5297,0.5230,-0.0003,44.00,
002545,东方铁塔,化肥行业,33.92,20.90,2.44,44.78,5.64,0.1260,1.1224,1.6691,0.0000,44.00,
301061,匠心家居,家电行业,25.11,23.80,5.17,32.10,6.83,0.2127,0.0854,1.2464,-0.1966,44.00,
300547,川环科技,橡胶制品,10.49,48.10,6.88,14.76,2.03,0.1373,0.3700,1.1377,-0.2498,44.00,
000408,藏格矿业,化肥行业,24.01,35.91,8.72,33.29,25.80,0.7751,1.0303,2.0231,-0.0169,44.00,
000672,上峰水泥,水泥建材,35.98,16.26,1.29,52.31,6.27,0.1199,0.4195,0.5959,-0.0134,44.00,
603087,甘李药业,生物制品,30.47,36.66,3.54,38.47,6.15,0.1598,0.2402,0.5034,-0.1590,44.00,
603979,金诚信,采掘行业,99.33,20.59,4.61,129.05,15.84,0.1227,0.6642,1.0383,-0.0534,44.00,
603379,三美股份,化学制品,44.29,17.44,4.86,54.29,7.79,0.1434,0.2614,0.7477,-0.0202,44.00,
688208,道通科技,计算机设备,34.96,25.14,7.29,46.25,6.41,0.1386,0.1542,0.6159,-0.1256,44.00,
605305,中际联合,风电设备,13.52,15.42,3.16,17.17,3.15,0.1834,0.5364,0.6099,-0.1210,44.00,
600301,华锡有色,小金属,41.38,36.77,5.39,53.54,6.58,0.1229,0.8914,1.1786,-0.0640,44.00,
301345,涛涛车业,交运设备,27.73,33.83,8.01,35.29,4.31,0.1222,0.8653,3.2802,-0.0070,44.00,
002517,恺英网络,游戏,40.75,22.34,4.62,52.66,16.28,0.3093,0.1646,0.5977,-0.2386,44.00,
001206,依依股份,美容护理,13.06,26.98,3.01,17.88,2.15,0.1203,0.4851,0.8729,-0.1251,44.00,
600329,达仁堂,中药,36.70,12.39,3.95,53.66,22.29,0.4155,0.4215,0.5093,-0.0775,44.00,
000426,兴业银锡,有色金属,40.99,35.83,7.12,50.73,15.30,0.3015,1.1665,1.8898,-0.0291,44.00,
600988,赤峰黄金,贵金属,86.44,21.91,4.80,114.47,17.64,0.1541,0.3108,0.9719,-0.0519,44.00,
605099,共创草坪,家用轻工,24.74,20.58,4.71,31.67,5.11,0.1614,-0.0607,0.6107,-0.2193,44.00,
002961,瑞达期货,多元金融,16.21,25.63,3.93,17.63,3.83,0.2171,0.4378,0.9924,-0.0578,44.00,
601020,华钰矿业,有色金属,14.59,20.86,5.21,21.47,2.53,0.1180,0.4215,0.9985,-0.1899,44.00,
603063,禾望电气,风电设备,27.78,34.48,3.05,42.00,4.41,0.1049,0.0517,0.7238,-0.1667,44.00,
300285,国瓷材料,化学制品,32.84,41.56,3.87,43.64,6.05,0.1386,0.6047,0.5376,-0.0473,44.00,
000603,盛达资源,有色金属,16.52,49.11,6.42,22.69,3.90,0.1719,1.0265,1.4575,-0.0371,44.00,
603091,众鑫股份,家用轻工,10.56,30.65,3.82,14.54,3.24,0.2228,0.1529,0.8240,-0.0739,44.00,
002478,常宝股份,钢铁行业,42.84,14.77,1.31,57.56,6.34,0.1102,0.5743,0.7092,-0.0551,44.00,
002558,巨人网络,游戏,33.68,44.98,5.60,40.73,14.25,0.3499,0.8126,2.3811,-0.0655,44.00,
605338,巴比食品,食品饮料,13.56,25.42,3.01,18.17,2.77,0.1522,0.5111,0.6039,-0.1125,44.00,
605117,德业股份,光伏设备,88.46,25.06,8.23,120.37,29.60,0.2459,0.7065,0.4817,-0.0630,43.50,
300316,晶盛机电,光伏设备,82.73,40.92,2.82,113.72,25.10,0.2207,0.4028,0.1720,-0.2107,43.50,
002150,通润装备,光伏设备,25.90,40.31,3.63,35.21,2.17,0.0617,0.7081,0.6236,-0.1336,43.50,
688516,奥特维,光伏设备,46.72,27.90,3.99,69.31,12.73,0.1837,0.4411,0.1186,-0.0966,43.50,
688099,晶晨股份,半导体,50.71,39.86,5.17,63.57,8.22,0.1293,0.2597,0.1237,-0.2190,43.40,
603290,斯达半导,半导体,29.90,45.91,3.38,39.66,5.08,0.1280,0.2173,0.0136,-0.1601,43.40,
002049,紫光国微,半导体,49.04,39.77,5.10,61.53,11.79,0.1917,0.2175,0.1974,-0.1506,43.40,
000700,模塑科技,汽车零部件,51.07,25.50,3.43,69.94,6.26,0.0895,0.8694,0.9318,0.0000,43.30,
603730,岱美股份,汽车零部件,47.94,31.56,4.10,63.68,8.02,0.1260,0.5443,0.2697,0.0000,43.30,
300680,隆盛科技,汽车零部件,18.10,45.70,6.47,25.64,2.24,0.0875,0.6120,1.3001,-0.1495,43.30,
003033,征和工业,汽车零部件,13.90,35.37,4.62,19.04,1.31,0.0688,0.8897,1.7969,-0.1153,43.30,
600933,爱柯迪,汽车零部件,53.10,17.15,2.19,70.82,9.40,0.1327,0.2713,0.2576,-0.1676,43.30,
002536,飞龙股份,汽车零部件,32.37,48.20,5.33,44.65,3.30,0.0738,1.1560,1.7055,-0.0444,43.30,
603596,伯特利,汽车零部件,83.57,26.88,4.37,117.16,12.09,0.1032,0.0742,0.1149,-0.1960,43.30,
300611,美力科技,汽车零部件,14.13,37.71,4.78,18.91,1.07,0.0564,0.2692,1.4996,-0.2092,43.30,
300304,云意电气,汽车零部件,16.66,23.16,3.05,22.55,4.01,0.1779,0.5638,0.4173,-0.2213,43.30,
