排名,股票代码,股票名称,行业,截至日期,总分(新框架),基础分(估值+质量+趋势),模型A_抄底分,模型B_趋势分,趋势入场(1/0),天花板分_行业(代理),天花板分_出海(代理),天花板分_合计,第二曲线分_多元化(代理),第二曲线分_研发(代理),第二曲线分_资本开支(代理),第二曲线分_合计,境外收入占比(如可得),产品Top1占比(如可得),产品HHI(如可得),产品分部数(如可得),总市值(亿),PE(估算),PB(估算),净利率(估算),ROE(估算),资产负债率(估算),研发/营收(估算),资本开支/营收(估算)
1,002835,同为股份,计算机设备,2025-12-30,78.5,85.0,85.0,58.0,0,85.0,80.0,83.0,62.0,100.0,0.0,61.0,0.3242,0.6930,0.5370,4,35.6,17.7815,3.0066,0.1725,0.1691,0.2068,0.1704,
2,688606,奥泰生物,医疗器械,2025-12-30,78.2,78.0,78.0,70.0,0,85.0,80.0,83.0,100.0,80.0,0.0,74.0,0.3151,0.4227,0.2734,8,50.7,16.7514,1.3047,0.3490,0.0779,0.0715,0.1106,
3,688581,安杰思,医疗器械,2025-12-30,74.8,85.0,85.0,58.0,0,85.0,45.0,69.0,72.0,80.0,0.0,60.0,0.1744,0.6493,0.4846,5,48.0,16.3768,2.0044,0.4609,0.1224,0.0557,0.0930,
4,688389,普门科技,医疗器械,2025-12-30,74.8,79.0,79.0,76.0,0,85.0,25.0,61.0,100.0,100.0,0.0,80.0,0.0814,0.3998,0.2716,7,56.0,16.2020,2.7285,0.3009,0.1684,0.2909,0.1755,
5,300508,维宏股份,互联网服务,2025-12-30,73.1,79.0,72.0,86.0,1,85.0,25.0,61.0,87.0,100.0,0.0,73.5,0.0037,0.5164,0.3787,5,40.0,41.9679,5.1791,0.2049,0.1234,0.1790,0.2438,
6,300514,友讯达,电网设备,2025-12-30,72.9,82.0,82.0,66.0,0,85.0,25.0,61.0,100.0,55.0,0.0,66.5,0.0010,0.4623,0.3147,4,26.4,13.3119,2.5327,0.1962,0.1903,0.2830,0.0742,
7,002322,理工能科,软件开发,2025-12-30,72.2,79.0,79.0,63.0,0,85.0,0.0,51.0,100.0,100.0,0.0,80.0,0.0000,0.4921,0.3199,6,45.2,16.2735,1.5088,0.2572,0.0927,0.1037,0.1416,
8,300441,鲍斯股份,通用设备,2025-12-30,72.1,91.0,91.0,56.0,0,60.0,25.0,46.0,100.0,35.0,0.0,60.5,0.0142,0.4440,0.3107,5,48.6,5.8381,1.9418,0.3586,0.3326,0.2140,0.0475,
9,603387,基蛋生物,医疗器械,2025-12-30,71.6,76.0,76.0,73.0,0,85.0,25.0,61.0,87.0,100.0,0.0,73.5,0.0408,0.5328,0.3647,5,42.2,18.8904,1.6131,0.1920,0.0854,0.2536,0.1556,
10,605116,奥锐特,化学制药,2025-12-30,71.2,74.5,63.0,86.0,1,60.0,65.0,62.0,100.0,80.0,0.0,74.0,0.2054,0.4360,0.2423,11,103.0,29.0228,4.4164,0.2404,0.1522,0.1372,0.0992,
11,688080,映翰通,通信设备,2025-12-30,71.1,74.0,74.0,86.0,0,85.0,45.0,69.0,87.0,80.0,0.0,67.5,0.1495,0.5132,0.3541,6,37.3,28.6941,3.5738,0.2123,0.1245,0.1804,0.1088,
12,603309,维力医疗,医疗器械,2025-12-30,70.9,74.0,74.0,78.0,0,85.0,45.0,69.0,100.0,55.0,0.0,66.5,0.1761,0.3162,0.2240,8,39.6,18.0530,2.1012,0.1454,0.1164,0.1872,0.0736,
13,002980,华盛昌,仪器仪表,2025-12-30,70.9,74.0,74.0,86.0,0,60.0,80.0,68.0,87.0,80.0,0.0,67.5,0.4437,0.4284,0.3581,6,39.3,28.3777,3.5885,0.1714,0.1265,0.2476,0.1120,
14,688273,麦澜德,医疗器械,2025-12-30,70.8,71.0,71.0,84.0,0,85.0,25.0,61.0,100.0,100.0,0.0,80.0,0.0010,0.3939,0.3030,6,42.6,41.9172,3.2449,0.2393,0.0774,0.1054,0.1350,
15,688616,西力科技,电网设备,2025-12-30,70.4,77.0,77.0,76.0,0,85.0,25.0,61.0,100.0,55.0,0.0,66.5,0.0045,0.4579,0.2865,6,21.8,21.0112,2.6204,0.1767,0.1247,0.1638,0.0573,
16,601065,江盐集团,化学原料,2025-12-30,70.1,83.0,83.0,73.0,0,60.0,45.0,54.0,100.0,35.0,0.0,60.5,0.1873,0.4236,0.3054,8,53.4,11.5734,1.2196,0.1718,0.1054,0.1969,0.0390,
17,688576,西山科技,医疗器械,2025-12-30,70.1,73.0,73.0,60.0,0,85.0,25.0,61.0,87.0,100.0,0.0,73.5,0.0095,0.4794,0.3946,6,28.3,28.7065,1.6047,0.2933,0.0559,0.0779,0.1642,
18,301602,超研股份,医疗器械,2025-12-30,69.8,65.0,65.0,46.0,0,85.0,45.0,69.0,100.0,100.0,0.0,80.0,0.1842,0.5032,0.3321,5,93.2,63.9945,10.7001,0.3874,0.1672,0.1191,0.1332,
19,301047,义翘神州,生物制品,2025-12-30,69.8,65.0,65.0,70.0,0,85.0,45.0,69.0,100.0,100.0,0.0,80.0,0.1925,0.4450,0.3078,7,82.0,67.2292,1.4199,0.1987,0.0211,0.0326,0.1486,
20,301181,标榜股份,汽车零部件,2025-12-30,69.6,75.5,64.0,87.0,1,85.0,25.0,61.0,100.0,55.0,0.0,66.5,0.0253,0.5202,0.3499,5,54.9,45.1317,3.8237,0.2367,0.0847,0.1224,0.0541,
21,300927,江天化学,化学原料,2025-12-30,69.5,92.0,92.0,70.0,0,60.0,25.0,46.0,87.0,15.0,0.0,48.0,0.0634,0.5378,0.4338,5,33.6,11.2875,3.4903,0.4325,0.3092,0.3006,0.0074,
22,603367,辰欣药业,化学制药,2025-12-30,69.5,79.0,79.0,70.0,0,60.0,25.0,46.0,100.0,80.0,0.0,74.0,0.0026,0.3039,0.1848,12,79.2,15.5602,1.3310,0.1278,0.0855,0.1971,0.0861,
23,688553,汇宇制药-W,化学制药,2025-12-30,69.5,76.0,76.0,65.0,0,60.0,25.0,46.0,100.0,100.0,0.0,80.0,0.0486,0.3322,0.2612,6,74.9,23.0292,1.8832,0.2973,0.0818,0.2201,0.2995,
24,301290,东星医疗,医疗器械,2025-12-30,69.4,75.0,75.0,70.0,0,85.0,25.0,61.0,100.0,55.0,0.0,66.5,0.0302,0.4699,0.3120,5,25.6,26.2297,1.1375,0.2237,0.0434,0.0844,0.0515,
25,002833,弘亚数控,专用设备,2025-12-30,69.1,81.0,81.0,76.0,0,60.0,45.0,54.0,100.0,35.0,0.0,60.5,0.1132,0.3654,0.2272,7,70.5,13.6281,2.4903,0.1920,0.1827,0.1273,0.0452,
26,300993,玉马科技,家用轻工,2025-12-30,69.1,80.0,80.0,68.0,0,50.0,65.0,56.0,100.0,35.0,0.0,60.5,0.2296,0.3452,0.2717,4,47.2,25.4495,3.2824,0.2412,0.1290,0.0544,0.0316,
27,688358,祥生医疗,医疗器械,2025-12-30,68.5,76.0,76.0,83.0,0,85.0,65.0,77.0,30.0,100.0,0.0,45.0,0.2882,0.9112,0.8350,4,33.7,23.9565,2.3695,0.2998,0.0989,0.1044,0.1699,
28,300617,安靠智电,电网设备,2025-12-30,68.4,73.0,73.0,72.0,0,85.0,25.0,61.0,100.0,55.0,0.0,66.5,0.0001,0.3492,0.1994,11,53.9,29.3810,1.8708,0.1690,0.0637,0.1840,0.0522,
29,002884,凌霄泵业,通用设备,2025-12-30,68.2,82.5,79.0,86.0,1,60.0,45.0,54.0,87.0,35.0,0.0,54.0,0.1783,0.4664,0.3651,4,63.5,14.3506,2.7381,0.2779,0.1908,0.0616,0.0321,
30,688338,赛科希德,医疗器械,2025-12-30,68.2,76.0,76.0,80.0,0,85.0,25.0,61.0,87.0,55.0,0.0,60.0,0.0133,0.5407,0.3964,4,27.6,24.4034,1.6750,0.3694,0.0686,0.0580,0.0641,
