股票代码,股票名称,行业,总市值(亿元),市盈率TTM,市净率,营收(亿元),净利润(亿元),净利率,近120日涨跌幅,近250日涨跌幅,距250日高点回撤,综合分,标记
300373,扬杰科技,半导体,53.48,29.05,4.08,69.57,10.02,0.1441,0.4039,0.5486,-0.1430,46.40,
002472,双环传动,汽车零部件,64.66,33.51,4.17,85.05,10.24,0.1204,0.5281,0.6441,-0.0827,46.30,
603809,豪能股份,汽车零部件,18.95,38.11,3.69,25.67,3.22,0.1254,0.0419,0.6793,-0.1594,46.30,
300926,博俊科技,汽车零部件,40.75,16.88,4.31,54.40,6.13,0.1127,0.2464,0.5408,-0.0897,46.30,
300893,松原安全,汽车零部件,18.34,32.27,5.84,24.95,2.60,0.1044,0.3905,0.5837,-0.1604,46.30,
001311,多利科技,汽车零部件,27.09,38.99,2.17,38.14,4.25,0.1114,0.5702,0.5780,-0.0099,46.30,
688578,艾力斯,化学制药,37.33,22.10,7.33,47.57,14.30,0.3005,0.1519,0.7014,-0.1027,45.80,
603920,世运电路,电子元件,40.78,41.98,5.42,54.25,6.75,0.1244,0.6832,0.6252,-0.0160,45.60,
002484,江海股份,电子元件,41.17,36.11,4.20,53.86,6.55,0.1215,0.4270,0.8318,-0.1736,45.60,
001389,广合科技,电子元件,38.35,35.82,9.48,48.89,6.76,0.1383,0.3702,0.6256,-0.0461,45.60,
002947,恒铭达,消费电子,19.63,24.76,4.13,27.50,4.57,0.1661,0.5402,0.5451,-0.0663,45.50,
002611,东方精工,专用设备,33.89,34.24,4.27,48.61,5.01,0.1030,0.6138,0.7527,-0.1236,45.20,
603699,纽威股份,通用设备,56.03,27.40,9.74,73.86,11.56,0.1565,0.7528,1.6230,-0.0532,45.00,
002255,海陆重工,电源设备,16.85,24.85,2.39,26.95,3.77,0.1400,0.4538,1.2408,-0.1420,44.80,
002895,川恒股份,化学原料,58.04,17.37,3.02,77.36,9.56,0.1236,0.6151,0.7154,-0.0560,44.70,
603067,振华股份,化学原料,32.17,37.73,5.93,42.90,4.73,0.1102,0.9365,2.1614,-0.1268,44.70,
000893,亚钾国际,化肥行业,38.67,24.38,3.39,49.32,9.50,0.1927,0.5749,1.3272,-0.0029,44.00,
002545,东方铁塔,化肥行业,33.92,20.90,2.44,44.78,5.64,0.1260,1.1224,1.6691,0.0000,44.00,
301061,匠心家居,家电行业,25.11,23.80,5.17,32.10,6.83,0.2127,0.0854,1.2464,-0.1966,44.00,
000408,藏格矿业,化肥行业,24.01,35.91,8.72,33.29,25.80,0.7751,1.0303,2.0231,-0.0169,44.00,
000672,上峰水泥,水泥建材,35.98,16.26,1.29,52.31,6.27,0.1199,0.4195,0.5959,-0.0134,44.00,
603087,甘李药业,生物制品,30.47,36.66,3.54,38.47,6.15,0.1598,0.2402,0.5034,-0.1590,44.00,
688208,道通科技,计算机设备,34.96,25.14,7.29,46.25,6.41,0.1386,0.1542,0.6159,-0.1256,44.00,
603379,三美股份,化学制品,44.29,17.44,4.86,54.29,7.79,0.1434,0.2614,0.7477,-0.0202,44.00,
600301,华锡有色,小金属,41.38,36.77,5.39,53.54,6.58,0.1229,0.8914,1.1786,-0.0640,44.00,
301345,涛涛车业,交运设备,27.73,33.83,8.01,35.29,4.31,0.1222,0.8653,3.2802,-0.0070,44.00,
600329,达仁堂,中药,36.70,12.39,3.95,53.66,22.29,0.4155,0.4215,0.5093,-0.0775,44.00,
000426,兴业银锡,有色金属,40.99,35.83,7.12,50.73,15.30,0.3015,1.1665,1.8898,-0.0291,44.00,
002961,瑞达期货,多元金融,16.21,25.63,3.93,17.63,3.83,0.2171,0.4378,0.9924,-0.0578,44.00,
603063,禾望电气,风电设备,27.78,34.48,3.05,42.00,4.41,0.1049,0.0517,0.7238,-0.1667,44.00,
300285,国瓷材料,化学制品,32.84,41.56,3.87,43.64,6.05,0.1386,0.6047,0.5376,-0.0473,44.00,
002478,常宝股份,钢铁行业,42.84,14.77,1.31,57.56,6.34,0.1102,0.5743,0.7092,-0.0551,44.00,
002558,巨人网络,游戏,33.68,44.98,5.60,40.73,14.25,0.3499,0.8126,2.3811,-0.0655,44.00,
688516,奥特维,光伏设备,46.72,27.90,3.99,69.31,12.73,0.1837,0.4411,0.1186,-0.0966,43.50,
002049,紫光国微,半导体,49.04,39.77,5.10,61.53,11.79,0.1917,0.2175,0.1974,-0.1506,43.40,
000700,模塑科技,汽车零部件,51.07,25.50,3.43,69.94,6.26,0.0895,0.8694,0.9318,0.0000,43.30,
603730,岱美股份,汽车零部件,47.94,31.56,4.10,63.68,8.02,0.1260,0.5443,0.2697,0.0000,43.30,
600933,爱柯迪,汽车零部件,53.10,17.15,2.19,70.82,9.40,0.1327,0.2713,0.2576,-0.1676,43.30,
688029,南微医学,医疗器械,23.81,22.77,3.80,31.24,5.53,0.1771,0.1744,0.2137,-0.1799,43.10,
688301,奕瑞科技,医疗器械,15.49,34.48,3.71,20.24,4.65,0.2298,0.1637,0.4512,-0.1763,43.10,
002950,奥美医疗,医疗器械,25.97,14.86,1.85,34.73,3.69,0.1062,0.2469,0.2426,-0.1907,43.10,
300677,英科医疗,医疗器械,74.25,20.84,1.41,98.50,14.65,0.1488,0.5427,0.4753,-0.1385,43.10,
300627,华测导航,通信设备,26.18,40.76,6.68,36.02,5.83,0.1620,-0.0009,0.2003,-0.1158,43.00,
605507,国邦医药,化学制药,44.70,15.42,1.67,59.43,7.82,0.1315,0.2124,0.2404,0.0000,42.80,
300573,兴齐眼药,化学制药,19.04,21.36,9.09,24.08,3.38,0.1404,0.3599,0.2809,-0.1692,42.80,
000915,华特达因,化学制药,16.03,14.21,2.71,23.59,5.16,0.2186,0.0233,0.4537,-0.0730,42.80,
603456,九洲药业,化学制药,41.60,16.11,1.83,53.56,6.06,0.1132,0.2048,0.2956,-0.1742,42.80,
002020,京新药业,化学制药,30.48,21.20,2.88,39.98,7.12,0.1781,0.2719,0.4708,-0.1262,42.80,
300037,新宙邦,电池,66.16,39.39,3.86,87.96,9.42,0.1071,0.5830,0.4169,-0.1906,42.70,
300408,三环集团,电子元件,65.08,33.97,4.22,85.03,21.90,0.2576,0.4586,0.2214,-0.1411,42.60,
002138,顺络电子,电子元件,50.32,28.72,4.52,67.34,8.32,0.1236,0.3076,0.1430,-0.1305,42.60,
603328,依顿电子,电子元件,30.53,22.77,2.64,39.40,4.37,0.1110,0.1459,0.1459,-0.0972,42.60,
000733,振华科技,电子元件,39.26,34.75,1.89,54.06,9.70,0.1795,0.0838,0.1895,-0.1845,42.60,
000997,新 大 陆,互联网服务,62.44,23.04,3.93,84.16,10.10,0.1199,-0.1535,0.3660,-0.1642,42.30,
605167,利柏特,专用设备,19.83,28.58,3.43,28.85,2.40,0.0834,0.3130,0.5145,0.0000,42.20,
605286,同力天启,专用设备,19.53,26.87,3.25,22.08,2.46,0.1116,0.0954,0.2850,-0.1221,42.20,
603025,大豪科技,专用设备,22.28,25.29,7.77,28.43,5.84,0.2055,0.3338,0.1651,-0.1177,42.20,
300415,伊之密,专用设备,43.06,16.38,3.95,56.95,6.08,0.1067,0.3085,0.2724,-0.0928,42.20,
688789,宏华数科,专用设备,16.32,28.17,4.18,21.57,4.14,0.1921,0.1698,0.2117,-0.0478,42.20,
002690,美亚光电,专用设备,16.94,26.86,6.82,24.27,6.49,0.2675,0.2787,0.4862,-0.0423,42.20,
301603,乔锋智能,通用设备,18.71,25.18,3.99,24.37,2.05,0.0842,0.5712,0.7306,-0.0920,42.00,
688697,纽威数控,通用设备,20.70,25.82,4.06,26.98,3.25,0.1205,0.2057,0.3018,-0.1054,42.00,
000811,冰轮环境,通用设备,48.35,32.62,3.03,65.14,6.28,0.0964,0.6977,1.1514,0.0000,42.00,
002438,江苏神通,通用设备,16.38,25.63,2.18,21.47,2.95,0.1374,0.2338,0.3183,-0.0211,42.00,
603173,福斯达,通用设备,21.41,15.03,3.65,29.06,2.61,0.0899,0.1826,0.8517,-0.1985,42.00,
002158,汉钟精机,通用设备,22.65,25.75,3.09,30.83,8.63,0.2798,0.4363,0.3471,-0.1249,42.00,
601369,陕鼓动力,通用设备,71.86,21.25,1.99,101.73,10.42,0.1024,0.1857,0.2393,-0.0452,42.00,
603187,海容冷链,通用设备,24.30,14.95,1.42,31.51,3.54,0.1122,0.2799,0.3901,-0.0343,42.00,
600618,氯碱化工,化学原料,56.87,17.07,1.54,78.63,7.87,0.1001,0.2789,0.1870,-0.1513,41.70,
603606,东方电缆,电网设备,74.98,34.69,5.51,98.92,10.08,0.1019,0.2201,0.1348,-0.1520,41.60,
601126,四方股份,电网设备,61.32,27.04,5.37,79.89,7.16,0.0896,0.8240,0.8539,-0.0784,41.60,
002270,华明装备,电网设备,18.15,29.26,7.57,24.39,6.14,0.2519,0.5402,0.4991,-0.0968,41.60,
600236,桂冠电力,电力行业,73.35,18.55,3.36,95.80,22.83,0.2384,0.1500,0.1500,0.0000,41.00,
002029,七 匹 狼,纺织服装,20.25,15.02,1.18,29.71,2.85,0.0958,0.6508,0.7229,-0.0483,41.00,
603355,莱克电气,家电行业,73.13,22.01,3.34,98.31,12.30,0.1252,0.4017,0.3882,-0.1120,41.00,
000612,焦作万方,有色金属,49.82,10.95,1.89,66.58,5.89,0.0884,0.4310,0.6652,-0.0272,41.00,
002756,永兴材料,钢铁行业,55.47,41.28,2.34,73.90,10.43,0.1412,0.6865,0.3453,-0.0357,41.00,
000923,河钢资源,钢铁行业,43.03,19.12,1.33,52.34,5.66,0.1082,0.4936,0.4904,-0.0085,41.00,
603619,中曼石油,采掘行业,29.85,17.97,2.50,40.68,7.26,0.1784,0.2395,0.2362,-0.0951,41.00,
001207,联科科技,橡胶制品,17.88,17.73,2.31,24.08,2.72,0.1130,0.0808,0.3204,-0.0538,41.00,
002233,塔牌集团,水泥建材,29.16,13.77,0.90,42.63,5.38,0.1262,0.1753,0.2819,-0.0660,41.00,
603075,热威股份,家电行业,15.46,26.78,4.20,20.56,3.00,0.1458,0.0881,0.1779,-0.1521,41.00,
002273,水晶光电,光学光电子,51.23,26.50,3.62,66.91,10.30,0.1539,0.2856,0.1278,-0.1189,41.00,
603217,元利科技,化学制品,16.54,26.43,1.60,21.56,2.07,0.0961,0.4506,0.5206,-0.1003,41.00,
603638,艾迪精密,工程机械,23.74,37.67,4.61,30.61,3.44,0.1124,0.1176,0.1527,-0.1582,41.00,
600033,福建高速,铁路公路,22.98,10.80,0.96,30.55,7.81,0.2555,0.2141,0.1744,-0.1077,41.00,
603568,伟明环保,环保行业,58.80,15.11,2.90,70.06,27.04,0.3860,0.3085,0.2120,-0.0137,41.00,
688019,安集科技,电子化学品,18.12,44.93,10.97,23.35,5.34,0.2286,0.4198,0.9910,-0.0695,41.00,
603165,荣晟环保,造纸印刷,16.09,14.75,1.66,21.82,2.86,0.1312,0.1447,0.1426,-0.1363,41.00,
002170,芭田股份,化肥行业,38.09,12.82,3.20,46.88,4.09,0.0873,0.1630,0.5316,-0.1055,41.00,
300910,瑞丰新材,化学制品,25.51,22.10,4.62,34.08,7.22,0.2120,0.0051,0.3319,-0.1150,41.00,
600888,新疆众和,有色金属,59.57,16.31,1.02,77.74,12.03,0.1548,0.1965,0.1610,-0.0722,41.00,
601890,亚星锚链,船舶制造,15.44,35.42,2.69,20.66,2.82,0.1365,0.0390,0.2855,-0.1111,41.00,
600273,嘉化能源,化学制品,77.31,10.43,1.14,98.13,10.08,0.1027,-0.0266,0.1078,-0.0767,41.00,
000686,东北证券,证券,38.61,15.57,1.11,75.85,8.74,0.1152,0.2513,0.1665,-0.0930,41.00,
600909,华安证券,证券,44.23,12.63,1.36,63.23,14.86,0.2349,0.1670,0.1188,-0.0102,41.00,
603558,健盛集团,纺织服装,18.86,9.39,1.61,25.36,3.25,0.1281,0.2437,0.1569,-0.1153,41.00,
603650,彤程新材,橡胶制品,25.23,41.57,6.90,33.69,5.17,0.1534,0.3996,0.2780,-0.0984,41.00,
601555,东吴证券,证券,72.74,11.59,1.07,134.37,23.66,0.1761,0.0422,0.1857,-0.1170,41.00,
600901,江苏金租,多元金融,46.38,10.89,1.42,59.57,29.43,0.4940,-0.0223,0.2987,-0.0467,41.00,
605183,确成股份,橡胶制品,16.53,15.63,2.29,22.16,5.41,0.2440,0.1370,0.1752,-0.0875,41.00,
601059,信达证券,证券,30.19,31.85,2.82,39.60,13.65,0.3446,0.1102,0.1535,-0.1283,41.00,
002926,华西证券,证券,34.93,17.32,1.01,51.81,7.28,0.1405,0.0175,0.1056,-0.1354,41.00,
601083,锦江航运,航运港口,51.76,9.16,1.58,68.81,10.21,0.1483,-0.0045,0.1983,-0.1899,41.00,
601696,中银证券,证券,24.38,37.20,2.27,34.06,9.06,0.2662,0.4333,0.3272,-0.1593,41.00,
300487,蓝晓科技,塑料制品,19.33,36.11,7.83,25.96,7.87,0.3033,0.2330,0.2323,-0.0079,41.00,
603515,欧普照明,家电行业,49.08,17.39,2.01,69.36,9.03,0.1302,0.0652,0.1294,-0.0631,41.00,
603100,川仪股份,仪器仪表,48.90,18.93,2.50,68.60,7.78,0.1134,0.1248,0.1127,-0.1526,41.00,
600750,江中药业,中药,29.33,16.36,3.93,42.39,7.88,0.1859,0.0977,0.1538,-0.0551,41.00,
002409,雅克科技,电子化学品,64.67,32.53,4.42,83.30,8.72,0.1046,0.3822,0.1990,-0.1459,41.00,
600995,南网储能,电力行业,53.20,21.19,1.81,69.75,11.26,0.1615,0.2446,0.2385,-0.1165,41.00,
000791,甘肃能源,电力行业,65.25,10.00,1.45,87.37,16.44,0.1882,-0.0497,0.1207,-0.1022,41.00,
002978,安宁股份,有色金属,16.07,18.26,1.81,21.04,8.52,0.4047,0.0326,0.1004,-0.0400,41.00,
300416,苏试试验,专业服务,15.32,44.02,3.46,21.51,2.29,0.1066,0.2994,0.4376,-0.0543,41.00,
601198,东兴证券,证券,36.10,21.33,1.54,99.78,15.44,0.1548,0.3137,0.2171,-0.0256,41.00,
002967,广电计量,专业服务,24.16,40.23,3.75,34.63,3.52,0.1017,0.2656,0.3211,-0.0651,41.00,
000899,赣能股份,电力行业,51.69,8.42,1.55,69.84,7.14,0.1022,0.0070,0.1465,-0.0849,41.00,
603565,中谷物流,物流行业,78.98,11.23,2.14,107.12,18.35,0.1713,0.0876,0.1406,-0.1252,41.00,
603112,华翔股份,家电行业,29.83,17.74,2.22,40.23,4.71,0.1170,-0.0279,0.4662,-0.0821,41.00,
600338,西藏珠峰,有色金属,17.24,23.75,3.17,21.83,2.30,0.1052,0.3783,0.3182,-0.0913,41.00,
603929,亚翔集成,装修装饰,31.09,33.63,10.63,40.72,6.36,0.1562,1.6732,2.7275,-0.1414,41.00,
601107,四川成渝,铁路公路,60.86,10.76,1.11,90.89,14.59,0.1605,-0.0161,0.2603,-0.0528,41.00,
601512,中新集团,房地产开发,26.01,12.09,0.89,33.00,6.37,0.1930,0.2300,0.1508,-0.1355,41.00,
301109,军信股份,环保行业,21.63,14.64,1.55,28.38,5.36,0.1890,-0.0404,0.2828,-0.0850,41.00,
002014,永新股份,包装材料,27.06,17.65,3.10,36.92,4.68,0.1267,0.0093,0.2598,-0.0318,41.00,
600848,上海临港,房地产开发,38.02,19.78,1.49,107.78,10.97,0.1017,0.2926,0.1588,-0.1428,41.00,
600897,厦门空港,航空机场,15.23,14.22,1.54,19.84,4.31,0.2173,0.2114,0.1867,-0.1600,41.00,
000582,北部湾港,航运港口,55.35,20.96,1.17,76.36,12.19,0.1596,0.1439,0.2367,-0.1284,41.00,
603162,海通发展,航运港口,30.09,33.87,2.63,40.81,5.49,0.1345,0.4614,0.3173,-0.1029,41.00,
603201,常润股份,汽车零部件,22.00,14.69,1.85,29.76,2.45,0.0824,0.1154,0.1791,-0.1628,40.30,
300446,航天智造,汽车零部件,67.07,23.93,3.66,89.91,7.92,0.0881,0.4715,0.4533,-0.0683,40.30,
301087,可孚医疗,医疗器械,23.98,26.54,1.95,31.32,3.12,0.0995,0.3277,0.2238,-0.0426,40.10,
603987,康德莱,医疗器械,17.21,14.59,1.41,22.78,2.15,0.0945,0.1065,0.1493,-0.1104,40.10,
002367,康力电梯,专用设备,30.69,14.37,1.70,42.75,3.57,0.0835,0.0829,0.1239,0.0000,39.20,
688128,中国电研,专用设备,34.75,23.51,3.50,48.38,4.67,0.0965,0.2132,0.4062,-0.1916,39.20,
301219,腾远钴业,能源金属,57.52,20.07,2.15,74.05,6.85,0.0925,0.3320,0.4976,-0.1490,39.10,
002469,三维化学,化学原料,19.41,26.73,2.09,28.02,2.63,0.0937,0.0280,0.1377,-0.1145,38.70,
000682,东方电子,电网设备,51.65,23.95,2.87,80.79,6.84,0.0847,0.1458,0.1070,-0.1048,38.60,
605555,德昌股份,家电行业,32.88,41.85,2.99,43.96,4.11,0.0935,0.1839,0.1568,-0.1786,38.00,
603365,水星家纺,纺织服装,29.76,17.79,1.83,44.86,3.67,0.0817,0.1733,0.3542,-0.0890,38.00,
